recorder_code,clip id,annotation_file,card,site,dropoff:Point_ID,audio_file,annotation,start_time,end_time,low_f,high_f,Delta Time (s),Delta Freq (Hz),Channel,Selection,Notes,View,Avg Power Density (dB FS/Hz)
M12-2574,485,20240620_130000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0485_MSD-2087_20240620_130000.WAV,RASI_?,0.039874401,0.151522724,519.402,1095.373,0.1116,575.971,1,1,,Spectrogram 1,-66.1
M12-2574,485,20240620_130000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0485_MSD-2087_20240620_130000.WAV,RASI_?,3.174002321,3.365399445,545.115,1126.228,0.1914,581.113,1,2,,Spectrogram 1,-72.15
M12-2574,485,20240620_130000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0485_MSD-2087_20240620_130000.WAV,RASI_?,5.239496293,5.598365902,529.687,1151.941,0.3589,622.254,1,3,,Spectrogram 1,-73.71
M12-2574,485,20240620_130000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0485_MSD-2087_20240620_130000.WAV,RASI_?,23.347078065,23.618223992,565.685,1074.802,0.2711,509.117,1,4,,Spectrogram 1,-74.1
M12-2574,485,20240620_130000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0485_MSD-2087_20240620_130000.WAV,RASI_?,24.048867522,24.367862731,457.691,1208.51,0.319,750.819,1,5,,Spectrogram 1,-70.85
M12-2574,485,20240620_130000,MSD-2087,Rainbow meadows,SINE0096,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0485_MSD-2087_20240620_130000.WAV,RASI_?,28.25450956,28.429956925,683.965,1079.945,0.1754,395.98,1,6,,Spectrogram 1,-72.63
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_B,0.039874401,0.454568172,257.13,899.954,0.4147,642.824,1,1,,Spectrogram 1,-64.86
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_B,0.598116015,1.220156671,221.132,941.095,0.622,719.963,1,2,,Spectrogram 1,-64.9
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_B,1.268005952,1.937895889,241.702,1059.375,0.6699,817.673,1,3,,Spectrogram 1,-64.82
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_B,2.001694931,2.528037024,221.132,977.093,0.5263,755.961,1,4,,Spectrogram 1,-61.01
M12-2318,447,20240620_070000,MSD-2334,Rainbow meadows,SINE0101,2nd_round_annot/2_annotate_stratified_v2/audio_clips/0447_MSD-2334_20240620_070000.WAV,RASI_B,2.615760706,3.261726003,246.845,930.81,0.646,683.965,1,5,,Spectrogram 1,-60.17
