file,start_time,end_time,RA_SI_MU
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_081500_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_081500_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_081500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_081500_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_081500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_181500_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_181500_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_181500_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_181500_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_021500_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_021500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_021500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220626_021500_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_171500_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_171500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_171500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_171500_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_171500_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_041500_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_041500_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_041500_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_041500_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220621_041500_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_121500_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_121500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_121500_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_121500_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_121500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_071500_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_071500_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_071500_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_071500_0-10s.wav,6.0,8.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220624_071500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_201500_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_201500_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_201500_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_201500_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220622_201500_0-10s.wav,8.0,10.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_011500_0-10s.wav,0.0,2.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_011500_0-10s.wav,2.0,4.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_011500_0-10s.wav,4.0,6.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_011500_0-10s.wav,6.0,8.0,1.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220623_011500_0-10s.wav,8.0,10.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_113000_0-10s.wav,0.0,2.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_113000_0-10s.wav,2.0,4.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_113000_0-10s.wav,4.0,6.0,0.0
../data//Rana sierrae annotated aquatic soundscapes 2022/clips/sine2022a_MSD-0558_20220620_113000_0-10s.wav,6.0,8.0,0.0
